"Id","Titre","Artiste","Année","Durée","Genre"
258,"I Can See for Miles ","The Who",1967,00:04:13,"Hard Rock – Metal"
259,"Hallelujah ","Jeff Buckley",1994,00:06:53,"Indé et Alternatif"
260,"Oh, What a Night ","The Dells",1956,00:02:51,"Jazz"
261,"Higher Ground ","Stevie Wonder",1973,00:03:42,"Soul – R&B"
262,"Ooo Baby Baby ","Smokey Robinson and the Miracles",1965,00:02:44,"Soul – R&B"
263,"He's a Rebel ","The Crystals",1962,00:02:27,"Pop"
264,"Sail Away ","Randy Newman",1972,00:03:19,"Pop"
265,"Tighten Up ","Archie Bell and the Drells",1968,00:03:11,"Soul – R&B"
266,"Walking in the Rain ","The Ronettes",1964,00:03:10,"Pop"
267,"Personality Crisis ","The New York Dolls",1973,00:04:03,"Rock"
268,"Sunday Bloody Sunday ","U2",1983,00:04:39,"Rock"
269,"Roadrunner ","The Modern Lovers",1976,00:04:06,"Rock"
270,"He Stopped Loving Her Today ","George Jones",1980,00:03:21,"Country"
271,"Sloop John B ","The Beach Boys",1966,00:03:01,"Rock"
272,"Sweet Little Sixteen ","Chuck Berry",1958,00:03:01,"Rock"
273,"Something ","The Beatles",1969,00:03:02,"Rock"
274,"Somebody to Love ","Jefferson Airplane",1967,00:02:54,"Rock"
275,"Born in the U.S.A. ","Bruce Springsteen",1984,00:04:39,"Rock"
276,"I'll Take You There ","The Staple Singers",1972,00:03:16,"Soul – R&B"
277,"Ziggy Stardust ","David Bowie",1972,00:03:14,"Pop"
278,"Pictures of You ","The Cure",1990,00:07:28,"Indé et Alternatif"
279,"Chapel of Love ","The Dixie Cups",1964,00:02:47,"Pop"
280,"Ain't No Sunshine ","Bill Withers",1971,00:02:06,"Soul – R&B"
281,"You Are the Sunshine of My Life ","Stevie Wonder",1973,00:02:50,"Soul – R&B"
282,"Help Me ","Joni Mitchell",1974,00:03:21,"Pop"
283,"Call Me ","Blondie",1980,00:03:29,"Rock"
284,"(What's So Funny 'Bout) Peace, Love and Understanding ","Elvis Costello and the Attractions",1974,00:03:33,"Pop"
285,"Smokestack Lightning ","Howlin' Wolf",1956,00:03:05,"Blues"
286,"Summer Babe (Winter Version) ","Pavement",1992,00:03:16,"Indé et Alternatif"
287,"Walk This Way ","Run–DMC",1986,00:05:11,"Rap – Hip-Hop"
288,"Money (That's What I Want) ","Barrett Strong",1959,00:02:39,"Soul – R&B"
289,"Can't Buy Me Love ","The Beatles",1964,00:02:11,"Rock"
290,"Stan ","Eminem feat. Dido",2000,00:06:44,"Rap – Hip-Hop"
291,"She's Not There ","The Zombies",1964,00:02:25,"Rock"
292,"Train in Vain ","The Clash",1980,00:03:12,"Indé et Alternatif"
293,"Tired of Being Alone ","Al Green",1971,00:02:52,"Soul – R&B"
294,"Black Dog ","Led Zeppelin",1971,00:04:55,"Rock"
295,"Street Fighting Man ","The Rolling Stones",1968,00:05:14,"Pop"
296,"Get Up, Stand Up ","Bob Marley and the Wailers",1973,00:03:46,"Reggae"
297,"Heart of Gold ","Neil Young",1971,00:03:07,"Rock"
298,"One Way or Another ","Blondie",1979,00:03:36,"Pop"
299,"Sign o' the Times ","Prince",1987,00:05:02,"Pop"
300,"Like a Prayer ","Madonna",1988,00:05:40,"Pop"
301,"Da Ya Think I'm Sexy? ","Rod Stewart",1978,00:05:31,"Rock"
302,"Blue Eyes Crying in the Rain ","Willie Nelson",1975,00:02:18,"Country"
303,"Ruby Tuesday ","The Rolling Stones",1967,00:03:16,"Rock"
304,"With a Little Help from My Friends ","The Beatles",1967,00:02:44,"Rock"
305,"Say It Loud – I'm Black and I'm Proud ","James Brown",1968,00:04:46,"Soul – R&B"
306,"That's Entertainment ","The Jam",1980,00:03:55,"Pop"
307,"Why Do Fools Fall In Love ","Frankie Lymon and the Teenagers",1956,00:02:21,"Pop"
308,"Lonely Teardrops ","Jackie Wilson",1958,00:02:42,"Soul – R&B"
309,"What's Love Got to Do with It ","Tina Turner",1984,00:03:46,"Pop"
310,"Iron Man ","Black Sabbath",1971,00:05:54,"Rock"
311,"Wake Up Little Susie ","The Everly Brothers",1969,00:01:56,"Rock"
312,"In Dreams ","Roy Orbison",1963,00:02:49,"Rock"
313,"I Put a Spell on You ","Screamin' Jay Hawkins",1956,00:02:26,"Rock"
314,"Comfortably Numb ","Pink Floyd",1979,00:06:22,"Rock"
315,"Don't Let Me Be Misunderstood ","The Animals",1965,00:02:25,"Pop"
316,"Wish You Were Here ","Pink Floyd",1975,00:05:34,"Rock"
317,"Many Rivers to Cross ","Jimmy Cliff",1969,00:02:41,"Reggae"
318,"Alison ","Elvis Costello",1977,00:03:24,"Rock"
319,"School's Out ","Alice Cooper",1972,00:03:30,"Pop"
320,"Heartbreaker ","Led Zeppelin",1969,00:04:14,"Rock"
321,"Cortez the Killer ","Neil Young",1975,00:07:30,"Rock"
322,"Fight the Power ","Public Enemy",1989,00:04:44,"Rap – Hip-Hop"
323,"Dancing Barefoot ","Patti Smith Group",1979,00:04:16,"Rock"
324,"Baby Love ","The Supremes",1964,00:02:36,"Soul – R&B"
325,"Good Lovin' ","The Young Rascals",1966,00:02:30,"Soul – R&B"
326,"Get Up (I Feel Like Being a) Sex Machine ","James Brown",1970,00:02:49,"Soul – R&B"
327,"For Your Precious Love ","Jerry Butler and the Impressions",1958,00:02:45,"Pop"
328,"The End ","The Doors",1967,00:06:30,"Rock"
329,"That's the Way of the World ","Earth, Wind and Fire",1975,00:05:45,"Soul – R&B"
330,"We Will Rock You ","Queen",1977,00:02:02,"Rock"
331,"I Can't Make You Love Me ","Bonnie Raitt",1991,00:05:33,"Pop"
332,"Subterranean Homesick Blues ","Bob Dylan",1965,00:02:19,"Rock"
333,"Spirit in the Sky ","Norman Greenbaum",1969,00:04:02,"Rock"
334,"Wild Horses ","The Rolling Stones",1971,00:05:41,"Rock"
335,"Sweet Jane ","The Velvet Underground",1970,00:04:09,"Pop"
336,"Walk This Way ","Aerosmith",1975,00:03:41,"Rock"
337,"Beat It ","Michael Jackson",1982,00:04:18,"Pop"
338,"Maybe I'm Amazed ","Paul McCartney",1970,00:03:51,"Rock"
339,"You Keep Me Hangin' On ","The Supremes",1966,00:02:45,"Soul – R&B"
340,"Baba O'Riley ","The Who",1971,00:05:01,"Pop"
341,"The Harder They Come ","Jimmy Cliff",1972,00:03:10,"Reggae"
342,"Runaround Sue ","Dion",1961,00:02:47,"Pop"
343,"Jim Dandy ","LaVern Baker",1956,00:02:15,"Pop"
344,"Piece of My Heart ","Big Brother and the Holding Company",1968,00:04:13,"Rock"
345,"La bamba ","Ritchie Valens",1958,00:02:10,"Rock"
346,"California Love ","2Pac feat. Dr. Dre",1995,00:04:44,"Rap – Hip-Hop"
347,"Candle in the Wind ","Elton John",1974,00:03:50,"Pop"
348,"That Lady (Partie 1 et 2) ","The Isley Brothers",1973,00:05:36,"Soul – R&B"
349,"Spanish Harlem ","Ben E. King",1961,00:02:52,"Soul – R&B"
