Année;Département (code);Département (libellé);Commune active (code);Commune active (libellé);Nombre de personnes;Nombre de personnes de 15 ans ou plus;Nombre de personnes actives de 15 ans ou plus;Nombre de personnes actives de 15 ans ou plus ayant un emploi
2014;44;Loire-Atlantique;44186;Sainte-Pazanne;6362.0;4635.0;3043.0;2909.0
2014;49;Maine-et-Loire;49017;Baracé;547.0;388.0;258.0;230.0
2014;49;Maine-et-Loire;49027;Bégrolles-en-Mauges;1976.0;1488.0;1020.0;900.0
2014;49;Maine-et-Loire;49028;Béhuard;105.0;64.0;18.0;49.0
2014;49;Maine-et-Loire;49053;Brossay;370.0;273.0;177.0;170.0
2014;49;Maine-et-Loire;49115;Coutures;512.0;398.0;259.0;235.0
2014;49;Maine-et-Loire;49223;Mûrs-Erigné;5326.0;4419.0;2524.0;2393.0
2014;49;Maine-et-Loire;49228;Noyant;1818.0;1515.0;670.0;562.0
2014;53;Mayenne;53029;Bierné;661.0;474.0;184.0;251.0
2014;53;Mayenne;53040;Bourgon;640.0;476.0;313.0;264.0
2014;53;Mayenne;53053;Champgenéteux;520.0;370.0;166.0;214.0
2014;53;Mayenne;53094;Entrammes;2231.0;1699.0;1097.0;1027.0
2014;53;Mayenne;53098;Fontaine-Couverte;414.0;285.0;128.0;161.0
2014;53;Mayenne;53111;Haie-Traversaine;487.0;382.0;244.0;236.0
2014;53;Mayenne;53122;Jublains;698.0;531.0;245.0;312.0
2014;53;Mayenne;53193;Ruillé-Froid-Fonds;528.0;373.0;190.0;260.0
2014;53;Mayenne;53229;Saint-Jean-sur-Mayenne;1632.0;1193.0;862.0;834.0
2014;72;Sarthe;72026;Beaufay;1456.0;1167.0;686.0;562.0
2014;72;Sarthe;72054;Champagné;3824.0;3041.0;1982.0;1867.0
2014;72;Sarthe;72083;Chevillé;406.0;297.0;208.0;180.0
2014;72;Sarthe;72111;Cures;504.0;393.0;258.0;271.0
2014;72;Sarthe;72154;Flèche;15013.0;12539.0;6306.0;5325.0
2012;53;Mayenne;53253;Saint-Saturnin-du-Limet;507.999998;413.029351;239.376936;245.311886
2012;72;Sarthe;72053;Challes;1243.0;985.585823;602.970197;596.96051
2012;72;Sarthe;72255;Rouessé-Vassé;802.000002;630.63249;353.506723;322.170944
2012;72;Sarthe;72269;Saint-Calais;3359.000002;2980.100796;1272.353631;1161.606501
2012;72;Sarthe;72349;Teillé;510.0;404.0;264.0;224.0
2012;85;Vendée;85012;Barre-de-Monts;2174.000003;1853.253961;855.990991;633.473445
2012;85;Vendée;85041;Cezais;309.0;247.0;166.0;152.0
2012;85;Vendée;85060;Château-d'Olonne;13387.000003;11738.538189;5094.874016;4477.848222
2012;85;Vendée;85088;Fenouiller;4377.000003;3669.040834;1914.611206;1808.157423
2012;85;Vendée;85214;Sainte-Foy;1854.999998;1498.653752;980.951945;891.85548
2013;44;Loire-Atlantique;44122;Petit-Mars;3556.0;2593.0;1836.0;1659.0
2013;44;Loire-Atlantique;44124;Pin;792.0;609.0;364.0;324.0
2013;44;Loire-Atlantique;44129;Pontchâteau;10180.0;7955.0;4680.0;4291.0
2013;49;Maine-et-Loire;49017;Baracé;514.0;376.0;258.0;220.0
2013;49;Maine-et-Loire;49086;Chavagnes;1237.0;877.0;601.0;612.0
2013;49;Maine-et-Loire;49367;Erdre-en-Anjou;2307.0;1672.0;944.0;930.0
2013;53;Mayenne;53012;Athée;501.0;390.0;244.0;235.0
2013;53;Mayenne;53028;Belgeard;569.0;376.0;209.0;248.0
2013;53;Mayenne;53077;Cossé-le-Vivien;3012.0;2381.0;1375.0;1332.0
2013;53;Mayenne;53134;Livet;147.0;116.0;77.0;65.0
2013;53;Mayenne;53197;Saint-Aignan-sur-Roë;891.0;743.0;386.0;368.0
2013;53;Mayenne;53200;Saint-Baudelle;1167.0;895.0;567.0;474.0
2013;53;Mayenne;53267;Vaiges;1147.0;904.0;522.0;440.0
2013;72;Sarthe;72031;Beillé;530.0;406.0;260.0;224.0
2013;72;Sarthe;72033;Bernay-en-Champagne;479.0;362.0;202.0;171.0
2013;72;Sarthe;72040;Bosse;110.0;57.0;18.0;29.0
2011;44;Loire-Atlantique;44009;Basse-Goulaine;8168.0;6631.014417;3949.684632;3697.310587
2011;44;Loire-Atlantique;44015;Blain;9462.999998;7485.441911;4319.135224;3854.162408
2011;44;Loire-Atlantique;44043;Clisson;6682.999998;5446.65734;3203.721182;2922.00428
2011;44;Loire-Atlantique;44122;Petit-Mars;3490.999999;2554.777268;1820.873856;1638.389765
2011;44;Loire-Atlantique;44135;Pouliguen;4973.999999;4407.084934;1765.163205;1622.66754
2011;44;Loire-Atlantique;44137;Prinquiau;3197.0;2322.579038;1576.760354;1467.171936
2011;44;Loire-Atlantique;44172;Sainte-Luce-sur-Loire;12699.000002;10234.443481;6239.666262;5757.360649
2011;44;Loire-Atlantique;44195;Savenay;7789.999999;5973.574941;3619.200949;3219.695002
2011;49;Maine-et-Loire;49028;Béhuard;125.000001;107.945155;65.209694;64.206479
2011;49;Maine-et-Loire;49209;Montigné-lès-Rairies;369.999999;284.483649;163.258493;159.371386
2011;49;Maine-et-Loire;49301;Sèvremoine;6969.999998;5312.596412;3317.747563;3014.886721
2011;49;Maine-et-Loire;49361;Varennes-sur-Loire;1884.0;1531.0;808.0;732.0
2011;53;Mayenne;53043;Brée;547.0;423.516783;244.925363;204.10448
2011;53;Mayenne;53045;Brûlatte;703.000002;550.346694;367.578218;385.645134
